Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
Metal Slug Anthology,12/14/2006,Terminal Reality,SNK Playmore,Compilation,Teen,Wii
Dishonored: Dunwall City Trials,12/11/2012,Arkane Studios,Bethesda Softworks,Action Adventure,Mature,Xbox 360
Evil West,11/22/2022,Flying Wild Hog,Focus Entertainment,Third Person Shooter,Mature,PC
Hitman 2,11/9/2018,Io Interactive,Warner Bros. Interactive Entertainment,Action Adventure,Mature,PlayStation 4
Disney/Pixar Ratatouille,6/26/2007,Asobo Studio,THQ,3D Platformer,Everyone,PlayStation 3
Sniper Elite,10/18/2005,Rebellion,Namco,Tactical Third Person Shooter,Mature,Wii
Monster Hunter Freedom 2,8/28/2007,Capcom,Capcom,Action RPG,Teen,PSP
Star Trek Away Team,3/19/2001,Reflexive Entertainment,Activision,Real-Time Strategy,Teen,PC
Colors! 3D,4/5/2012,Collecting Smiles,Collecting Smiles,Application,Everyone,3DS
Battlefield 1943,7/8/2009,EA DICE,Electronic Arts,Tactical FPS,Teen,Xbox 360
Starship Defense,1/18/2010,Q-Games,Nintendo,Defense,Everyone,DS
Eagle Flight,11/8/2016,FunHouse,Ubisoft,Aircraft Combat Sim,Everyone +10,PlayStation 4
Heretic Kingdoms: The Inquisition,4/14/2005,3D People,Got Game Entertainment,Western RPG,Mature,PC
The Dishwasher: Vampire Smile,4/6/2011,Ska Studios,Microsoft Game Studios,2D Beat-'Em-Up,Mature,Xbox 360
Humanity,5/16/2023,Tha Ltd.,Enhance Games,Action Puzzle,Everyone +10,PlayStation 4
Way of the Samurai 3,10/20/2009,Acquire,UFO Interactive,Open-World Action,Mature,PlayStation 3
The Chronicles of Riddick: Assault on Dark Athena,4/7/2009,Starbreeze,Atari SA,FPS,Mature,PlayStation 3
Redout 2,6/16/2022,34BigThings,Saber Interactive,Future Racing,Everyone +10,PC
IRONFALL Invasion,2/26/2015,VD-DEV,VD-DEV,Third Person Shooter,Teen,3DS
Hidden Agenda,10/24/2017,Supermassive Games,Sony Interactive Entertainment,Third-Person Adventure,Mature,PlayStation 4
The Surge,5/16/2017,Deck 13,Focus Home Interactive,Action RPG,Mature,PC
Command & Conquer Remastered Collection,6/5/2020,Petroglyph,Electronic Arts,Compilation,Teen,PC
NASCAR 2011: The Game,3/29/2011,Eutechnyx,Activision,Auto Racing Sim,Everyone,PlayStation 3
Pokemon Conquest,6/18/2012,Koei Tecmo Games,Nintendo,Turn-Based Tactics,Everyone,DS
Immortals Fenyx Rising,12/3/2020,Ubisoft Quebec,Ubisoft,Open-World Action,Teen,PlayStation 4
Sonic Generations,11/1/2011,Sonic Team,Sega,3D Platformer,Everyone,Xbox 360
Stuart Little 2,7/12/2002,Creations,Activision,3D Platformer,Everyone,Game Boy Advance
EA Sports FC 24,9/29/2023,EA Canada,Electronic Arts,Soccer Sim,Everyone,PC
Zombie Army Trilogy,3/3/2015,Rebellion,Rebellion,Third Person Shooter,Mature,PC
Gravity Games Bike: Street. Vert. Dirt.,6/27/2002,Midway,Midway,Biking,Teen,PlayStation 2
Angry Birds,1/4/2011,Abstraction Games,Chillingo,Action Puzzle,Everyone,iOS (iPhone/iPad)
1942: Joint Strike,7/23/2008,Backbone Entertainment,Capcom,Vertical Shoot-'Em-Up,Everyone +10,Xbox 360
Ice Age 2: The Meltdown,3/14/2006,Eurocom,Vivendi Games,3D Platformer,Everyone +10,DS
Pillars of Eternity: The White March - Part 1,8/25/2015,Obsidian Entertainment,Paradox Interactive,Western RPG,Mature,PC
Army Men: Sarge's Heroes,10/30/2000,Saffire,Midway,Third Person Shooter,Teen,Dreamcast
Bush Hockey League,3/28/2017,V7 Entertainment Inc.,V7 Entertainment Inc.,Hockey,Mature,PC
Mario Kart DS,11/14/2005,Nintendo,Nintendo,Auto Racing,Everyone,DS
Among Us,11/16/2018,Innersloth,Innersloth,Survival,Everyone +10,PC
Driving Emotion Type-S,1/29/2001,Escape,Square EA,Auto Racing Sim,Everyone,PlayStation 2
GRID (2008),6/3/2008,Codemasters,Codemasters,Auto Racing Sim,Everyone,DS
Rampage: Puzzle Attack,11/29/2001,Ninai Games,Midway,Puzzle,Everyone,Game Boy Advance
Orphen: Scion of Sorcery,10/23/2000,Shade,Activision,JRPG,Teen,PlayStation 2
Romance of the Three Kingdoms XIV,12/24/2020,Koei Tecmo Games,Koei Tecmo Games,4X Strategy,Everyone +10,PlayStation 4
Grand Slam Tennis (2012),6/8/2009,EA Canada,Electronic Arts,Tennis,Everyone,Wii
Metal Gear Solid: Master Collection Vol. 1,10/24/2023,Konami,Konami,Compilation,Mature,PlayStation 5
Ray Gigant,5/3/2016,Bandai Namco Games,acttil llc.,RPG,Teen,PlayStation Vita
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,9/30/2002,Monolith Productions,Sierra Entertainment,Action Adventure,Mature,PC
Mission: Impossible (1998),8/14/1998,Infogrames,Ocean,Action Adventure,Teen,Nintendo 64
Guitar Hero,11/7/2005,Harmonix Music Systems,RedOctane,Rhythm,Teen,PlayStation 2
NBA 2K10,10/6/2009,Visual Concepts,2K Sports,Basketball Sim,Everyone,Xbox 360
de Blob,9/22/2008,Blue Tongue Entertainment,THQ,3D Platformer,Everyone,Xbox One
Sniper Ghost Warrior Contracts,11/22/2019,CI Games,CI Games,Tactical FPS,Mature,Xbox One
Fossil Fighters: Champions,11/14/2011,RED Entertainment,Nintendo,Trainer RPG,Everyone,DS
Might & Magic: Heroes VI,10/13/2011,Black Hole Games,Ubisoft,Turn-Based Strategy,Teen,PC
Fashion Dreamer,11/3/2023,syn Sophia,Marvelous Inc.,Virtual Life,Everyone,Nintendo Switch
Table Top Tanks,5/22/2012,Devils Details,SCEA,Miscellaneous,Everyone,PlayStation Vita
Supreme Commander 2,3/1/2010,Gas Powered Games,Square Enix,Command RTS,Everyone +10,PC
Grand Theft Auto: Chinatown Wars,3/17/2009,Rockstar Leeds,Rockstar Games,Open-World Action,Mature,DS
Marc Ecko's Getting Up: Contents Under Pressure,2/14/2006,The Collective,Atari SA,Action Adventure,Mature,Xbox
Dragon Ball: Origins 2,6/22/2010,Game Republic,Namco Bandai Games,Action Adventure,Teen,DS
Opoona,3/25/2008,ArtePiazza,Koei,JRPG,Everyone +10,Wii
Resident Evil: Revelations Collection,11/28/2017,Capcom,Capcom,Compilation,Mature,Nintendo Switch
The Last of Us Remastered,7/29/2014,Naughty Dog,SCEA,Linear Action Adventure,Mature,PlayStation 4
The Lord of the Rings Online: Mines of Moria,11/17/2008,Turbine Inc.,Turbine Inc.,MMORPG,Teen,PC
Imperial Glory,5/17/2005,Pyro Studios,Eidos Interactive,Real-Time Strategy,Teen,PC
TurnOn,6/1/2016,Brainy Studio LLC,Brainy Studio LLC,2D Platformer,Everyone,PC
Garfield and His Nine Lives,5/10/2006,Lucky Jump,The Game Factory,2D Platformer,Everyone,Game Boy Advance
Metal Gear Solid: Peace Walker,6/8/2010,Kojima Productions,Konami,Action Adventure,Teen,PSP
ActRaiser Renaissance,9/23/2021,Sonic Powered,Square Enix,Action Adventure,Everyone +10,Nintendo Switch
Tom Clancy's Ghost Recon 2,11/16/2004,Red Storm Entertainment,Ubisoft,Tactical Third Person Shooter,Teen,GameCube
Metal Gear Solid 2: Sons of Liberty,11/12/2001,KCEJ,Konami,Action Adventure,Mature,PlayStation 2
Trauma Center: New Blood,11/20/2007,Atlus,Atlus,Virtual Career,Teen,Wii
Metal Gear Solid 4: Guns of the Patriots,6/12/2008,Kojima Productions,Konami,Action Adventure,Mature,PlayStation 3
LawBreakers,8/4/2017,Boss Key Productions,Limited Run Games,Tactical FPS,Mature,PC
Pokemon Shining Pearl,11/19/2021,"ILCA, Inc.",Nintendo,Trainer RPG,Everyone,Nintendo Switch
Bookworm Adventures: Volume 2,7/30/2009,PopCap,PopCap,Logic Puzzle,Everyone +10,PC
Foul Play,9/18/2013,Mediatonic,Mastertronic,2D Beat-'Em-Up,Everyone +10,Xbox 360
Sonic Shuffle,11/13/2000,Sega,Sega,Party,Everyone,Dreamcast
Taito Legends 2,5/16/2007,Empire Oxford,Destineer,Compilation,Teen,PC
Freelancer,3/3/2003,Digital Anvil,Microsoft Game Studios,Space Combat Sim,Teen,PC
Lips,11/18/2008,iNiS,Microsoft Game Studios,Rhythm,Teen,Xbox 360
Tokyo Mirage Sessions #FE Encore,1/17/2020,Atlus,Nintendo,JRPG,Teen,Nintendo Switch
Saints Row IV: Enter the Dominatrix,10/22/2013,Volition Inc.,Deep Silver,Open-World Action,Mature,PC
Dynasty Warriors 8: Xtreme Legends - Complete Edition,3/25/2014,Omega Force,Tecmo Koei Games,3D Beat-'Em-Up,Teen,Nintendo Switch
Obduction,8/24/2016,Cyan Worlds,Cyan Worlds,First-Person Adventure,Everyone +10,PC
Yakuza,9/5/2006,Amusement Vision,Sega,Open-World Action,Mature,PlayStation 2
Bad North,8/20/2018,Plausible Concept,Raw Fury,Real-Time Strategy,Teen,Nintendo Switch
Tangledeep,1/31/2019,Impact Gameworks,Impact Gameworks,Roguelike,Everyone +10,PC
Super Ghouls 'n Ghosts,9/23/2002,Affect,Capcom,2D Platformer,Everyone,Game Boy Advance
Harmonix Music VR,10/10/2016,Harmonix Music Systems,Harmonix Music Systems,Dancing,Everyone,PlayStation 4
Disney's Treasure Planet: Battle at Procyon,10/31/2002,Barking Dog,Disney Interactive,Real-Time Strategy,Everyone,PC
EyePet & Friends,11/15/2011,SCEE London Studio,SCEA,Virtual Life,Everyone,PlayStation 3
Goodbye Volcano High,8/29/2023,KO-OP,KO-OP,Adventure,Everyone,PlayStation 5
Nickelodeon Kart Racers 2: Grand Prix,10/6/2020,Bamtang,GameMill Entertainment,Auto Racing,Everyone,PlayStation 4
Degrees of Separation,2/14/2019,Moondrop Studios,Modus Games,2D Platformer,Everyone,PC
WWE 2K23,3/14/2023,Visual Concepts,2K Games,Wrestling,Teen,PlayStation 5
Midnight Club: Los Angeles,10/20/2008,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Teen,PlayStation 3
X-Men: The Official Game,5/16/2006,"Z-Axis, Ltd.",Activision,3D Beat-'Em-Up,Teen,Xbox
Kengo: Legend of the 9,9/11/2007,Genki,Majesco,3D Beat-'Em-Up,Mature,Xbox 360
Frogger 2: Swampy's Revenge,10/1/2000,Blitz Games,Hasbro Interactive,3D Platformer,Everyone,PlayStation
Cooking Mama: Cookstar,3/31/2020,1st Playable Productions,Planet Entertainment,Virtual Career,Everyone,Nintendo Switch
Def Jam Rapstar,10/5/2010,4mm Games,Konami,Rhythm,Teen,PlayStation 3
Spider-Man 2,6/28/2004,Treyarch,Activision,Open-World Action,Teen,PlayStation 2
Assassin's Creed III - The Redemption,4/23/2013,Ubisoft Quebec,Ubisoft,Open-World Action,Mature,Xbox 360
New Super Mario Bros. U,11/18/2012,Nintendo,Nintendo,2D Platformer,Everyone,Wii U
Calico,12/15/2020,Peachy Keen Games,Whitethorn Digital,Virtual Life,Everyone,PC
Zax: The Alien Hunter,10/9/2001,Reflexive Entertainment,JoWooD Entertainment AG,Action,Teen,PC
Final Exam,11/5/2013,Mighty Rocket Studio,Focus Home Interactive,2D Beat-'Em-Up,Teen,PC
Rygar: The Legendary Adventure,11/25/2002,Tecmo,Tecmo,Action Adventure,Teen,PlayStation 2
Spyro Reignited Trilogy,11/13/2018,Toys for Bob,Activision,Compilation,Everyone +10,PlayStation 4
Sonic Riders,2/21/2006,Sonic Team,Sega,Arcade Racing,Everyone,PC
Bloodborne,3/24/2015,From Software,SCEA,Action RPG,Mature,PlayStation 4
Ice Age: Continental Drift - Arctic Games,7/10/2012,Activision,Activision,3D Platformer,Everyone,Wii
WarioWare: Get It Together!,9/10/2021,Nintendo,Nintendo,Party,Everyone +10,Nintendo Switch
MySims Kingdom,10/28/2008,EA Redwood Shores,Electronic Arts,Virtual Life,Everyone,Wii
Sleeping Dogs,8/14/2012,United Front Games,Square Enix,Open-World Action,Mature,Xbox 360
Breath of Fire II,4/16/2002,Capcom,Capcom,JRPG,Everyone,Game Boy Advance
Retro Game Challenge,2/10/2009,indieszero,XSEED Games,Trivia,Everyone,DS
Legendary,11/4/2008,Spark Unlimited,Gamecock Media Group,FPS,Mature,Xbox 360
Puyo Puyo Tetris,4/25/2017,Sonic Team,Sega,Stacking Puzzle,Everyone +10,PlayStation 4
BoxBoxBoy!,6/30/2016,HAL Labs,Nintendo,Action Puzzle,Everyone,3DS
The Last Blade 2,8/6/2001,SNK,Agetec,2D Fighting,Teen,Nintendo Switch
Shining Soul II,4/20/2004,Nex Entertainment,Atlus,Action RPG,Everyone,Game Boy Advance
The Sims 3: Into the Future,10/22/2013,Maxis,Electronic Arts,Virtual Life,Teen,PC
Wii Sports Club,11/7/2013,Nintendo,Nintendo,Athletics,Everyone +10,Wii U
We Ski & Snowboard,3/3/2009,Bandai Namco Games,Namco Bandai Games,Skiing,Everyone,Wii
Chronos: Before the Ashes,12/1/2020,Gunfire Games,THQ Nordic,Action Adventure,Teen,Nintendo Switch
NHL 10,9/15/2009,EA Canada,EA Sports,Hockey Sim,Everyone +10,Xbox 360
This War of Mine: Final Cut,5/10/2022,11 bit studios,11 bit studios,Board,Mature,PlayStation 5
Eufloria,10/4/2011,Rudolf Kremers,Omni Systems,Strategy,Everyone,PC
Mega Man Network Transmission,6/17/2003,Arika,Capcom,2D Platformer,Everyone,GameCube
Flight Simulator 2002,10/19/2001,Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Everyone,PC
Dead Rising 3: The Last Agent,3/18/2014,Capcom Vancouver,Microsoft Game Studios,Open-World Action,Mature,Xbox One
Doki-Doki Universe,12/10/2013,Humanature Studios,SCEA,Miscellaneous,Everyone +10,PlayStation 4
Legion,6/3/2002,Slitherine,Strategy First,Turn-Based Strategy,Teen,PC
Blossom Tales: The Sleeping King,12/21/2017,"Castle Pixel, LLC.",FDG Entertainment,Open-World Action,Everyone +10,PC
WWE 2K20,10/22/2019,Visual Concepts,2K Games,Wrestling,Teen,PlayStation 4
Enter the Gungeon,4/5/2016,Dodge Roll,Devolver Digital,Top-Down Shoot-'Em-Up,Teen,Xbox One
Falcon 4.0: Allied Force,6/28/2005,Lead Pursuit,Graphsim Entertainment,Aircraft Combat Sim,Teen,PC
R-Type Command,5/6/2008,Irem,Atlus,Turn-Based Strategy,Everyone +10,PSP
Doctor Lautrec and the Forgotten Knights,12/13/2011,WinkySoft,Konami,Puzzle,Everyone +10,3DS
Hyperdimension Neptunia MK2,2/28/2012,Compile Heart,NIS America,JRPG,Mature,PlayStation 3
Ace Combat: Assault Horizon Legacy,11/15/2011,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Teen,3DS
Battlefield 3: End Game,3/26/2013,EA DICE,Electronic Arts,Tactical FPS,Mature,PlayStation 3
Assassin's Creed II: Battle of Forli,1/28/2010,Ubisoft Montreal,Ubisoft,Open-World Action,Mature,PlayStation 3
Tom Clancy's Splinter Cell Classic Trilogy HD,9/27/2011,Ubisoft,Ubisoft,Compilation,Mature,PlayStation 3
Madden NFL 19,8/10/2018,EA Tiburon,Electronic Arts,Football Sim,Everyone,Xbox One
Neverout,7/10/2018,Gamedust,Gamedust,Puzzle,Everyone +10,Nintendo Switch
Mario Golf: Advance Tour,6/22/2004,Camelot Software Planning,Nintendo,Golf Sim,Everyone,Game Boy Advance
America's Army (2002),7/4/2002,U.S. Army,U.S. Army,Tactical FPS,Teen,PC
Kinect Rush: A Disney-Pixar Adventure,3/20/2012,Asobo Studio,Microsoft Game Studios,Adventure,Everyone,Xbox 360
Sam & Max Episode 201: Ice Station Santa,11/8/2007,Telltale Games,Telltale Games,Point-and-Click,Teen,iOS (iPhone/iPad)
The King of Fighters Collection: The Orochi Saga,10/28/2008,M2,SNK Playmore,Compilation,Teen,Wii
Ninjatown,10/28/2008,Venan Entertainment,SouthPeak Games,Defense,Everyone,DS
Tiger Woods PGA Tour 2005,9/20/2004,EA Sports,EA Sports,Golf Sim,Everyone,DS
Command & Conquer: Red Alert 3 - Uprising,3/12/2009,EA LA,Electronic Arts,Real-Time Strategy,Teen,PC
Stormland,11/14/2019,Insomniac Games,Oculus Studios,Open-World Action,Teen,PC
Mega Man X8,12/7/2004,"Valuewave Co.,Ltd.",Capcom,3D Platformer,Everyone,PlayStation 2
Toribash,7/12/2010,Nabi Studios,Nabi Studios,3D Fighting,Teen,PC
CSI: Crime Scene Investigation: Deadly Intent,10/27/2009,Telltale Games,Ubisoft,Adventure,Mature,PC
F1 2017,8/25/2017,Codemasters,Codemasters,Auto Racing Sim,Everyone,Xbox One
Mortal Kombat 11: Aftermath,5/26/2020,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Mature,Xbox One
Yakuza 5,12/8/2015,Ryu ga Gotoku Studios,Sega,Open-World Action,Mature,PlayStation 3
Me & My Katamari,3/21/2006,Namco,Namco,Action Adventure,Everyone,PSP
Shogun: Total War Warlord Edition,8/13/2001,Creative Assembly,Electronic Arts,Turn-Based Strategy,Teen,PC
Shantae: Half-Genie Hero,12/20/2016,WayForward,XSEED Games,2D Platformer,Teen,Wii U
Shape of the World,6/6/2018,Seaven Studio,Hollow Tree Games,Open-World Action,Everyone +10,Xbox One
Fire Emblem Warriors,10/20/2017,Omega Force,Nintendo,3D Beat-'Em-Up,Teen,Nintendo Switch
CSI: Crime Scene Investigation: Dark Motives,3/23/2004,369 Interactive,Ubisoft,Point-and-Click,Mature,DS
Tales of Vesperia: Definitive Edition,1/11/2019,QLOC,Bandai Namco Games,Action RPG,Teen,Xbox One
The Smurfs: Mission Vileaf,11/16/2021,OSome Studio,Microids,3D Platformer,Everyone,PC
Mario Sports Mix,2/7/2011,Square Enix,Nintendo,Sports,Everyone,Wii
Deponia Doomsday,3/1/2016,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,Mature,PC
Bust A Groove 2,3/31/1999,Metro,Enix Corporation,Dancing,Everyone,PlayStation
Super Dungeon Bros,11/1/2016,React Games,Wired Productions,Roguelike,Everyone +10,PC
Dr. Mario 64,4/8/2001,Newcom,Nintendo,Matching Puzzle,Everyone,Nintendo 64
Digimon World Data Squad,9/18/2007,Bec,Namco Bandai Games,RPG,Everyone +10,PlayStation 2
New Pokemon Snap,4/30/2021,Bandai Namco Games,Nintendo,Rail Shooter,Everyone,Nintendo Switch
