Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Teen,PC
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Teen,Wii
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Everyone +10,PlayStation 4
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Teen,PC
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Mature,PC
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Teen,PlayStation 2
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Mature,PC
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Everyone,GameCube
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Teen,PC
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Everyone +10,iOS (iPhone/iPad)
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Teen,PC
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Everyone +10,PSP
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Teen,PlayStation 2
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Everyone,Xbox
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Teen,PC
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Teen,Nintendo Switch
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Teen,PlayStation Vita
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Teen,PlayStation 4
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Mature,PlayStation 5
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Everyone,PlayStation 3
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Mature,Xbox One
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Mature,PlayStation 3
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Teen,PC
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Everyone +10,3DS
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Teen,Xbox 360
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Everyone +10,PSP
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Teen,PC
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,11/28/2006,EA LA,EA Games,Real-Time Strategy,Teen,PC
MLB The Show 18,3/27/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Everyone,PlayStation 4
The Mage's Tale,6/20/2017,InXile Entertainment,InXile Entertainment,Adventure,Teen,PC
The Witcher 3: Wild Hunt - Blood and Wine,5/30/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Mature,PC
Port Royale 4,9/25/2020,Gaming Minds Studios,Kalypso,Management,Everyone +10,PC
Just Dance 2024 Edition,10/24/2023,Ubisoft,Ubisoft,Dancing,Everyone,Nintendo Switch
Dying Light,1/27/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Mature,Xbox One
Conflict: Desert Storm,4/22/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Teen,Xbox
Exerbeat,5/17/2011,Namco Bandai Games,Namco Bandai Games,Sports,Everyone,Wii
Far Cry 3: Blood Dragon,5/1/2013,Ubisoft Montreal,Ubisoft,FPS,Mature,Xbox 360
Yu-Gi-Oh! World Championship 2007,3/20/2007,Konami,Konami,Card Battle,Everyone,DS
Counter-Strike: Source,10/7/2004,Valve Software,Valve Software,Tactical FPS,Mature,PC
Super Crush K.O.,1/16/2020,Vertex Pop,Vertex Pop,2D Platformer,Everyone +10,Nintendo Switch
Allegiance,3/31/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Everyone,PC
Harry Potter and the Prisoner of Azkaban,6/2/2004,EA Games,EA Games,Action Adventure,Everyone,PC
World of Final Fantasy,10/25/2016,Square Enix,Square Enix,JRPG,Everyone +10,PlayStation 4
Star Wars: Bounty Hunter,11/19/2002,LucasArts,LucasArts,Third Person Shooter,Teen,PlayStation 2
Half-Life,11/19/1998,Valve Software,Sierra Entertainment,FPS,Mature,PC
Pool Panic,7/19/2018,Rekim,Adult Swim,Action Adventure,Everyone +10,Nintendo Switch
Bejeweled Twist,10/27/2008,PopCap,PopCap,Matching Puzzle,Everyone,PC
Jak II,10/14/2003,Naughty Dog,SCEA,3D Platformer,Teen,PlayStation 2
Senran Kagura Reflexions,9/13/2018,Honey Parade Games,XSEED Games,Adventure,Mature,Nintendo Switch
Majesty 2: Kingmaker,3/26/2010,1C Entertainment,Paradox Interactive,Strategy,Teen,PC
Bird Mania 3D,5/3/2012,Teyon,Teyon,Arcade,Everyone,3DS
Heavy Fire: Red Shadow,10/16/2018,Mastiff,Mastiff,FPS,Teen,Xbox One
TRON RUN/r,2/16/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Everyone +10,PC
Traitors Gate,4/30/2000,Daydream Software,DreamCatcher Interactive,Adventure,Everyone,PC
Resident Evil: Revelations,2/7/2012,Capcom,Capcom,Survival,Mature,PlayStation 3
MechWarrior 4: Black Knight Expansion,10/31/2001,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Teen,PC
Wallace & Gromit in Project Zoo,10/7/2003,Frontier Developments,Bam Entertainment,3D Platformer,Everyone,Xbox
Star Trek: Elite Force II,6/25/2003,Ritual Entertainment,Activision,FPS,Teen,PC
Tales of Symphonia Remastered,2/17/2023,Bandai Namco Games,Bandai Namco Games,Action RPG,Teen,Nintendo Switch
Super Smash Bros. Ultimate,12/7/2018,Nintendo,Nintendo,2D Fighting,Everyone +10,Nintendo Switch
The Sims 2: Nightlife,9/13/2005,Maxis,EA Games,Virtual Life,Teen,PC
Insurgency: Sandstorm,12/12/2018,New World Interactive,Focus Home Interactive,Tactical FPS,Mature,PC
Yo-kai Watch,11/6/2015,Level 5,Nintendo,Trainer RPG,Everyone +10,3DS
MechCommander 2,7/18/2001,Microsoft Game Studios,Microsoft Game Studios,Strategy,Teen,PC
After Us,5/23/2023,Piccolo,Private Division,Action Adventure,Teen,PlayStation 5
SaGa Scarlet Grace: Ambitions,12/3/2019,Square Enix,Square Enix,JRPG,Teen,Nintendo Switch
Haven Park,8/5/2021,Bubble Studio,Mooneye Studios,Third-Person Adventure,Everyone,PC
Capsized,7/5/2013,Koolhaus Games,Namco Bandai Games,2D Platformer,Teen,Xbox 360
The Godfather,3/21/2006,Page 44 Studios,Electronic Arts,Open-World Action,Mature,PC
Frostpunk,4/24/2018,11 bit studios,Merge Games,Management,Mature,PC
Phantasy Star Universe,10/25/2006,Sonic Team,Sega,Action RPG,Teen,PlayStation 2
Disney/Pixar Toy Story Racer,3/5/2001,Traveller's Tales,Activision,Auto Racing,Everyone,PlayStation
Harry Potter for Kinect,10/9/2012,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Everyone +10,Xbox 360
Narco Terror,7/31/2013,Koch Media,Deep Silver,Third Person Shooter,Mature,Xbox 360
Medieval Dynasty,12/17/2020,Render Cube,Toplitz Productions,Survival,Teen,PC
Max: The Curse of Brotherhood,12/20/2013,Press Play,Microsoft Game Studios,Action Adventure,Everyone +10,Xbox 360
Need for Speed: ProStreet,11/15/2007,EA Black Box,EA Games,Auto Racing Sim,Everyone +10,Xbox 360
Saints Row IV: Re-Elected & Gat Out of Hell,1/20/2015,Volition Inc.,Deep Silver,Open-World Action,Mature,Xbox One
Monster Jam Steel Titans 2,3/2/2021,Rainbow Studios,THQ Nordic,Auto Racing,Everyone,Xbox One
Picross S 3,4/25/2019,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Everyone,Nintendo Switch
Mighty Goose,6/5/2021,Blastmode,Playism,2D Platformer,Everyone +10,Nintendo Switch
Tak and the Power of Juju,10/15/2003,Avalanche Software,THQ,3D Platformer,Everyone,PlayStation 2
Game of Thrones,5/15/2012,Cyanide,Atlus,Western RPG,Mature,PlayStation 3
Bleach: The Blade of Fate,10/9/2007,Treasure,Sega,2D Fighting,Teen,DS
Crazy Taxi (1999),11/24/2010,Hitmaker,Sega,Auto Racing,Everyone +10,PlayStation 2
Commanders: Attack,2/13/2008,Southend Interactive,Sierra Online,Turn-Based Tactics,Everyone +10,Xbox 360
Nostradamus: The Last Prophecy,9/30/2007,Kheops Studio,MC2 Entertainment,Adventure,Everyone +10,PC
Avatar: Frontiers of Pandora,12/7/2023,Massive Entertainment,Ubisoft,Open-World Action,Teen,PC
Biomutant,5/25/2021,Experiment 101,THQ Nordic,Action RPG,Teen,Xbox One
Killzone: Liberation,10/31/2006,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Teen,PSP
Undertow,11/21/2007,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Everyone +10,Xbox 360
New Tales from the Borderlands,10/21/2022,Gearbox Software,2K Games,Adventure,Mature,PC
Jeremy McGrath's Offroad,6/27/2012,2XL Games,D3Publisher,Auto Racing Sim,Everyone,Xbox 360
Shadow of the Beast,5/17/2016,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Mature,PlayStation 4
Two Worlds II,1/25/2011,Reality Pump,SouthPeak Games,Action RPG,Mature,PC
Mega Man X: Command Mission,9/21/2004,"Valuewave Co.,Ltd.",Capcom,JRPG,Everyone,PlayStation 2
Command & Conquer: Red Alert 2,10/21/2000,Westwood Studios,Electronic Arts,Command RTS,Teen,PC
Earthfall,7/13/2018,Holospark,Holospark,Tactical FPS,Teen,PlayStation 4
FlatOut: Ultimate Carnage,10/2/2007,Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Teen,Xbox 360
Saints Row: The Third Remastered,5/22/2020,Sperasoft,Deep Silver,Open-World Action,Mature,Xbox One
Psychonauts in The Rhombus of Ruin,2/21/2017,Double Fine Productions,Double Fine Productions,Action,Everyone +10,PlayStation 4
Nintendogs: Chihuahua & Friends,8/22/2005,Nintendo,Nintendo,Virtual Pet,Everyone,DS
StarCraft 64,6/12/2000,Mass Media,Nintendo,Command RTS,Teen,Nintendo 64
Cities XL,10/8/2009,Monte Cristo,Focus Home Interactive,Management,Everyone,PC
Rocky and Bullwinkle,4/16/2008,Zen Studios,Microsoft Game Studios,Party,Everyone,Xbox 360
Mighty Morphin Power Rangers: Mega Battle,1/17/2017,Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Everyone +10,PlayStation 4
EVE Online,5/6/2003,CCP,Simon & Schuster,MMORPG,Teen,PC
MotoGP 3,3/17/2003,Namco,Namco,Auto Racing Sim,Everyone,PlayStation 2
Call of Duty: Black Ops,11/9/2010,Treyarch,Activision,Tactical FPS,Mature,PC
Pushmo,12/8/2011,Intelligent Systems,Nintendo,Action Puzzle,Everyone,3DS
1001 Spikes,6/3/2014,Nicalis,Nicalis,2D Platformer,Teen,3DS
Vanquish,10/19/2010,PlatinumGames,Sega,Third Person Shooter,Mature,PlayStation 3
Pro Evolution Soccer 2011,10/19/2010,Konami,Konami,Soccer Sim,Everyone,PlayStation 3
Excitebots: Trick Racing,4/20/2009,Monster Games Inc.,Nintendo,Auto Racing,Everyone,Wii
Septerra Core: Legacy of the Creator,10/31/1999,Valkyrie Studios,Monolith Productions,RPG,Teen,PC
Marvel: Ultimate Alliance,10/24/2006,Raven Software,Activision,Action RPG,Teen,Xbox 360
Laser League,5/10/2018,roll7,505 Games,Future Sport,Everyone +10,PC
NightCry,3/29/2016,"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Mature,PC
Mystical Ninja starring Goemon,4/16/1998,KCEO,Konami,Open-World Action,Everyone,Nintendo 64
Myth: The Fallen Lords,10/31/1997,Bungie,Bungie,Real-Time Strategy,Mature,PC
Quantum Error,11/3/2023,TeamKill Media LLC,TeamKill Media LLC,FPS,Mature,PlayStation 5
Mafia II: Definitive Edition,5/19/2020,Hangar 13,2K Games,Open-World Action,Mature,PlayStation 4
The Red Lantern,10/22/2020,Timberline Studio,Timberline Studio,Survival,Teen,Nintendo Switch
Caveman Warriors,12/5/2017,JanduSoft,JanduSoft,2D Platformer,Everyone +10,Xbox One
Final Fantasy V,11/6/2006,TOSE,Nintendo,JRPG,Everyone,iOS (iPhone/iPad)
Sunset Overdrive and the Mystery of the Mooil Rig!,12/23/2014,Insomniac Games,Microsoft Game Studios,Third Person Shooter,Mature,Xbox One
From Dust,7/27/2011,Ubisoft Montpellier,Ubisoft,Strategy,Everyone +10,Xbox 360
Kill Strain,7/12/2016,SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Teen,PlayStation 4
Kingdom Under Fire: Heroes,9/20/2005,Phantagram,Microsoft Game Studios,Real-Time Strategy,Mature,Xbox
Drake of the 99 Dragons,11/3/2003,Idol FX,Majesco,Third Person Shooter,Teen,PC
Sayonara UmiharaKawase +,4/21/2015,Studio Saizensen,Agatsuma Entertainment,2D Platformer,Everyone,PC
Dark Void Zero,1/18/2010,Other Ocean Interactive,Capcom,2D Platformer,Everyone,PC
Sonic the Hedgehog 2,2/20/2020,M2,Sega,2D Platformer,Everyone,3DS
The Lord of the Rings: Return to Moria,10/24/2023,Free Range Games,North Beach Games,Sandbox,Teen,PC
Broken Sword: Shadow of the Templars,3/24/2009,Revolution Software,Ubisoft,Point-and-Click,Teen,iOS (iPhone/iPad)
Grow Up,8/16/2016,Ubisoft Reflections,Ubisoft,Open-World Action,Everyone,PlayStation 4
God of War: Chains of Olympus,3/4/2008,Ready at Dawn,SCEA,Linear Action Adventure,Mature,PSP
Aliens vs. Predator: Requiem,11/13/2007,Rebellion,Sierra Entertainment,Action Adventure,Teen,PSP
Ratchet & Clank,11/4/2002,Insomniac Games,SCEA,3D Platformer,Teen,PlayStation 2
Age of Empires: Mythologies,11/24/2008,Griptonite Games,THQ,Turn-Based Tactics,Everyone +10,DS
Republic: The Revolution,8/27/2003,Elixir Studios,Eidos Interactive,Real-Time Strategy,Teen,PC
Vanishing Point,1/3/2001,Clockwork Games,Acclaim,Auto Racing,Everyone,Dreamcast
Gungrave,9/16/2002,RED Entertainment,Sega,Third Person Shooter,Mature,PlayStation 2
Guild Wars 2: End of Dragons,2/28/2022,ArenaNet,NCSOFT,MMORPG,Teen,PC
Star Wars: Jedi Starfighter,3/10/2002,LucasArts,LucasArts,Space Combat Sim,Teen,PlayStation 2
Dead Cells,8/7/2018,Motion Twin,Motion Twin,Metroidvania,Teen,PC
Gemini: Heroes Reborn,1/18/2016,"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Teen,PC
Pro Evolution Soccer 2010,11/3/2009,Konami,Konami,Soccer Sim,Everyone,PlayStation 3
Hot Wheels Unleashed,9/27/2021,Milestone S.r.l,Milestone S.r.l,Auto Racing,Everyone,PlayStation 5
King's Quest Chapter 3: Once Upon a Climb,4/26/2016,The Odd Gentlemen,Sierra Games,Adventure,Everyone +10,Xbox One
X-Blades,2/6/2009,Gaijin Entertainment,SouthPeak Games,3D Beat-'Em-Up,Mature,PlayStation 3
Castlevania: Harmony of Despair,8/4/2010,Konami,Konami,Action Adventure,Teen,PlayStation 3
Star Wars Galaxies: An Empire Divided,7/9/2003,Sony Online Entertainment,LucasArts,MMORPG,Teen,PC
Tchia,3/21/2023,Awaceb,Kepler Interactive,Open-World Action,Teen,PC
Katamari Damacy REROLL,12/7/2018,Bandai Namco Games,Bandai Namco Games,Action Adventure,Everyone,Nintendo Switch
The Bureau: XCOM Declassified,8/19/2013,2K Marin,2K Games,Tactical Third Person Shooter,Mature,PC
The Sims 4: Seasons,6/22/2018,Maxis,Electronic Arts,Virtual Life,Teen,PC
The Walking Dead: The Telltale Series - The Final Season,8/13/2018,Telltale Games,Telltale Games,Point-and-Click,Mature,PlayStation 4
Midnight Club 3: DUB Edition,4/11/2005,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Everyone +10,Xbox
Q*bert: Rebooted,2/17/2015,LOOT Entertainment,LOOT Entertainment,Arcade,Everyone,PC
The Legend of Spyro: The Eternal Night,10/2/2007,Krome Studios,Sierra Entertainment,3D Platformer,Everyone +10,Wii
NieR: Automata - Game of the YoRHa Edition,2/26/2019,PlatinumGames,Square Enix,Action RPG,Mature,PlayStation 4
N++,7/28/2015,Metanet Software Inc.,Metanet Software Inc.,2D Platformer,Everyone +10,PlayStation 4
La-Mulana,3/3/2015,Pygmy Studio,Rising Star Games,Metroidvania,Teen,Wii
Naughty Bear,6/25/2010,Artificial Mind and Movement,505 Games,Action,Teen,PlayStation 3
Disney/Pixar Cars 2,6/21/2011,Avalanche Software,Disney Interactive Studios,Auto Racing,Everyone +10,Xbox 360
Dillon's Rolling Western: The Last Ranger,4/11/2013,Vanpool,Nintendo,Action,Everyone +10,3DS
Memento Mori,7/29/2009,Centauri Production,Got Game Entertainment,First-Person Adventure,Mature,PC
Aqua Kitty UDX,2/15/2018,Tikipod Limited,Tikipod Limited,Horizontal Shoot-'Em-Up,Everyone,Xbox One
Dark Messiah of Might and Magic,10/24/2006,Arkane Studios,Ubisoft,FPS,Mature,PC
ScreamRide,3/3/2015,Frontier Developments,Microsoft Game Studios,Simulation,Everyone +10,Xbox One
Fantasy Zone,1/23/2020,M2,Sega,Horizontal Shoot-'Em-Up,Everyone,3DS
Dear Esther: Landmark Edition,9/20/2016,The Chinese Room,Curve Digital,First-Person Adventure,Teen,Xbox One
The Incredible Hulk (2008),6/5/2008,Edge of Reality,Sega,Open-World Action,Teen,PlayStation 2
Valhalla Knights 2,10/1/2008,K2,XSEED Games,Action RPG,Everyone +10,PSP
No Heroes Allowed!,11/1/2010,Acquire,SCEA,Strategy,Everyone +10,PSP
Driver '76,5/8/2007,Sumo Digital,Ubisoft,Auto Racing,Mature,PSP
Left 4 Dead 2,11/17/2009,Valve Software,Electronic Arts,Tactical FPS,Mature,PC
#IDARB,1/30/2015,Other Ocean Interactive,Other Ocean Interactive,Party,Everyone,Xbox One
Enter the Matrix,5/14/2003,Shiny Entertainment,Infogrames,Linear Action Adventure,Teen,Xbox
JoJo's Bizarre Adventure: All-Star Battle R,9/2/2022,CyberConnect2,Bandai Namco Games,3D Fighting,Teen,PlayStation 5
de Blob 2,2/22/2011,Blue Tongue Entertainment,THQ,3D Platformer,Everyone +10,Wii
Tom Clancy's Ghost Recon Advanced Warfighter,3/9/2006,Ubisoft Paris,Ubisoft,Tactical FPS,Teen,PC
Pokemon Mystery Dungeon: Red Rescue Team,9/18/2006,ChunSoft,Nintendo,Roguelike,Everyone,Game Boy Advance
Deracine,11/6/2018,From Software,Sony Interactive Entertainment,Adventure,Teen,PlayStation 4
The Whispered World,4/26/2010,Daedalic Entertainment,Viva Media,Point-and-Click,Everyone,PC
We Are OFK,8/18/2022,Team OFK,Team OFK,Adventure,Mature,PC
Metal Gear Acid 2,3/21/2006,Kojima Productions,Konami,Card Battle,Mature,PSP
March of the Penguins,11/27/2006,Skyworks Technologies,DSI Games,Action Puzzle,Everyone,Game Boy Advance
Chime Super Deluxe,3/29/2011,Zoe Mode,Zoe Mode,Stacking Puzzle,Everyone,PlayStation 3
"Hey You, Pikachu!",11/6/2000,Ambrella,Nintendo,Virtual Pet,Everyone,Nintendo 64
PGA Tour 2K23,10/11/2022,Take-Two Interactive,2K Games,Golf Sim,Everyone,PlayStation 5
X3: Reunion,11/10/2005,Egosoft,Enlight Software,Space Combat Sim,Teen,PC
A Way Out,3/23/2018,Hazelight,Electronic Arts,Linear Action Adventure,Mature,PC
Kirby Star Allies,3/16/2018,HAL Labs,Nintendo,2D Platformer,Everyone +10,Nintendo Switch
Peggle,3/11/2009,PopCap,PopCap,Action Puzzle,Everyone,Xbox 360
Microsoft Flight Simulator X,10/17/2006,Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Everyone,PC
Star Wars Battlefront: Elite Squadron,11/3/2009,Savage Entertainment,LucasArts,Third Person Shooter,Teen,PSP
Shinobi (2011),11/15/2011,Griptonite Games,Sega,2D Platformer,Teen,3DS
Shadow of Rome,2/8/2005,Capcom,Capcom,Action Adventure,Mature,PlayStation 2
Ice Age: Scrat's Nutty Adventure,10/18/2019,Blue Sky Studios,Outright Games,Action Adventure,Everyone,Xbox One
Asterix & Obelix XXL 3: The Crystal Menhir,1/26/2021,OSome Studio,Microids,Linear Action Adventure,Everyone +10,PlayStation 4
Rise of the Triad,7/31/2013,Interceptor,Apogee Games,FPS,Mature,PC
Arslan: The Warriors of Legend,2/9/2016,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Teen,PlayStation 4
Castle Crashers Remastered,9/9/2015,The Behemoth,The Behemoth,2D Beat-'Em-Up,Teen,Xbox One
Gears of War 2: All Fronts Collection,7/28/2009,Epic Games,Microsoft Game Studios,Third Person Shooter,Mature,Xbox 360
Worldwide Soccer Manager 2005,12/7/2004,Sports Interactive,Sega,Soccer Management,Everyone,PC
Noby Noby Boy,2/19/2009,Bandai Namco Games,Bandai Namco Games,Action,Everyone,PlayStation 3
Forever Worlds - Enter the Unknown,4/5/2004,Hexagon Entertainment,The Adventure Company,First-Person Adventure,Everyone,PC
Samurai Warriors,5/6/2004,Omega Force,Koei,3D Beat-'Em-Up,Teen,PlayStation 2
Metroid Prime 3: Corruption,8/27/2007,Retro Studios,Nintendo,FPS,Teen,Wii
Mortal Kombat 1,9/19/2023,NetherRealm Studios,Warner Bros. Games,2D Fighting,Mature,PlayStation 5
Shoot Many Robots,3/14/2012,Demiurge Studios,Ubisoft,Action,Mature,Xbox 360
Tiny Metal,12/21/2017,AREA35,AREA35,Turn-Based Tactics,Everyone +10,Nintendo Switch
Battlefield: Bad Company 2 Vietnam,12/21/2010,EA DICE,EA Games,FPS,Mature,PlayStation 3
MadWorld,3/10/2009,PlatinumGames,Sega,3D Beat-'Em-Up,Mature,Wii
Trials of Mana,4/24/2020,Xeen,Square Enix,Action RPG,Teen,Nintendo Switch
The Legend of Zelda: Twilight Princess,11/19/2006,Nintendo,Nintendo,Open-World Action,Teen,Wii
EOE: Eve of Extinction,2/26/2002,Yuke's,Eidos Interactive,Action Adventure,Teen,PlayStation 2
NHL 15,9/9/2014,EA Sports,Electronic Arts,Hockey Sim,Everyone +10,Xbox One
Champions of Norrath,2/10/2004,Snowblind Studios,Sony Online Entertainment,Action RPG,Teen,PlayStation 2
Patapon,2/26/2008,SCE Japan Studio,SCEA,Rhythm,Everyone,PSP
Far Cry 2,10/21/2008,Ubisoft Montreal,Ubisoft,FPS,Mature,PC
Tempest 4000,7/17/2018,Llamasoft,Atari SA,Top-Down Shoot-'Em-Up,Everyone,PC
Racing Gears Advance,2/8/2005,"Orbital Media, Inc.","Orbital Media, Inc.",Auto Racing,Everyone,Game Boy Advance
Sega Superstars Tennis,3/18/2008,Sumo Digital,Sega,Tennis,Everyone +10,PlayStation 3
Steins;Gate 0,11/29/2016,5pb,PQube,Visual Novel,Mature,PlayStation Vita
Cross Racing Championship 2005,10/4/2005,Invictus,Graphsim Entertainment,Auto Racing Sim,Everyone,PC
Minecraft: Story Mode - Episode 3: The Last Place You Look,11/24/2015,Telltale Games,Telltale Games,Point-and-Click,Everyone +10,PlayStation 4
Ridge Racer Unbounded,3/27/2012,Bugbear,Namco Bandai Games,Auto Racing,Teen,PC
OVERPASS,3/17/2020,Zordix Racing,Bigben Interactive,Auto Racing Sim,Everyone,PC
Lionheart: Kings' Crusade,10/8/2010,NeocoreGames,Paradox Interactive,Real-Time Strategy,Teen,PC
Curious George,2/1/2006,Monkey Bar Games,Namco,Action Adventure,Everyone,PC
Extermination,7/23/2001,Deep Space,SCEA,Survival,Mature,PlayStation 2
Gore: Ultimate Soldier,6/5/2002,4D Rulers,DreamCatcher Interactive,FPS,Mature,PC
Yu-Gi-Oh! GX Tag Force,11/14/2006,Konami,Konami,Card Battle,Everyone,PSP
Pillars of Eternity II: Deadfire,5/8/2018,Obsidian Entertainment,Versus Evil,Western RPG,Mature,PC
Universe at War: Earth Assault,12/10/2007,Petroglyph,Sega,Real-Time Strategy,Teen,PC
moon: Remix RPG Adventure,8/27/2020,Onion Games,Onion Games,RPG,Everyone +10,Nintendo Switch
Axiom Verge,3/31/2015,Tom Happ,Tom Happ,Metroidvania,Everyone +10,PC
Immortal Legacy: The Jade Cipher,4/16/2019,Viva Games,Viva Games,Light Gun,Mature,PlayStation 4
Untold Legends: The Warrior's Code,3/28/2006,Sony Online Entertainment,Sony Online Entertainment,Action RPG,Teen,PSP
Stoked: Big Air Edition,11/23/2009,Bongfish,Destineer,Skiing,Teen,Xbox 360
Lost Kingdoms II,5/21/2003,From Software,Activision,JRPG,Teen,GameCube
Mutant Football League: Dynasty Edition,10/30/2018,Nighthawk Interactive,Nighthawk Interactive,Football,Mature,Xbox One
Spyro 2: Season of Flame,9/24/2002,Digital Eclipse,Universal Interactive,3D Platformer,Everyone,Game Boy Advance
Rhythm Heaven Fever,2/13/2012,Nintendo,Nintendo,Rhythm,Everyone,Wii
Hammer & Sickle,12/5/2005,Novik & Co,cdv Software,Turn-Based Tactics,Teen,PC
Shin Megami Tensei: Devil Survivor 2 Record Breaker,5/5/2015,Atlus,Atlus,Turn-Based Tactics,Teen,3DS
SNK Heroines: Tag Team Frenzy,9/7/2018,SNK Corporation,NIS America,2D Fighting,Teen,Nintendo Switch
Otogi: Myth of Demons,8/27/2003,From Software,Sega,Action Adventure,Teen,Xbox
Futurama,8/14/2003,Unique Development Studios,VU Games,3D Platformer,Teen,Xbox
Lapis x Labyrinth,5/28/2019,Nippon Ichi Software,NIS America,Action RPG,Everyone +10,PlayStation 4
Tribes 2,3/28/2001,Dynamix,Sierra Entertainment,FPS,Teen,PC
Naruto Shippuden: Ultimate Ninja Storm Generations,3/13/2012,CyberConnect2,Namco Bandai Games,3D Fighting,Teen,Xbox 360
MLB The Show 16,3/29/2016,SCEA San Diego Studios,SCEA,Baseball Sim,Everyone,PlayStation 4
FIFA Soccer 10,10/20/2009,EA Sports,Electronic Arts,Soccer Sim,Everyone,PlayStation 3
Apex (2003),2/17/2003,Milestone S.r.l,Atari SA,Auto Racing Sim,Everyone,Xbox
Champions: Return to Arms,2/7/2005,Snowblind Studios,Sony Online Entertainment,Action RPG,Teen,PlayStation 2
Call of Duty: Ghosts - Devastation,4/3/2014,Infinity Ward,Activision,FPS,Mature,Xbox One
Wii Party U,10/25/2013,Nd Cube,Nintendo,Party,Everyone,Wii U
Gods Eater Burst,3/15/2011,Shift,D3Publisher,Action RPG,Teen,PSP
Monster Truck Championship,10/20/2020,Teyon,Maximum Games,Vehicle Sim,Everyone,Nintendo Switch
Super Toy Cars,7/24/2014,Eclipse Games,Eclipse Games,Auto Racing,Everyone,PC
Again: Interactive Crime Novel,4/2/2010,Cing,Tecmo,Visual Novel,Teen,DS
#DRIVE,2/16/2021,Dariusz Pietrala,PM Studios Inc.,Auto Racing,Everyone,Nintendo Switch
Savage Moon,1/29/2009,FluffyLogic,SCEA,Defense,Teen,PlayStation 3
Children of Morta,9/3/2019,Dead Mage,Dead Mage,Action RPG,Teen,PC
DJMax Respect,3/6/2018,Rocky Studio,Neowiz,Rhythm,Teen,PlayStation 4
